公車名稱,站牌名稱
53,松山農會
53,松山車站(八德)
53,蘆洲里
53,安康路
53,內湖焚化廠(安康)
53,捷運東湖站(南湖高中)
53,五分社區
53,東湖國小
53,東湖社區
57,秀山國小
57,自立路
57,民生路
57,永元路
57,福和國中
57,永利路
57,福和里
57,福和路
57,永和路口
57,捷運永安市場站
57,華泰新城
57,雙和里
57,南山高中
57,中和派出所
57,中和廟口
57,中和高中(員山路)
57,員山派出所
57,積穗國中
57,員山公園
57,積穗
57,板橋監理站
57,環球購物中心
57,仁愛新村
57,豫章工商
57,亞東科技大學
57,南雅站
62,華中河濱公園
62,果菜市場
62,萬大國小
62,德昌街口
62,西藏路口
62,萬大路
62,莒光路口
62,萬華車站
62,捷運菜寮站
62,中山藝術公園
62,大同路口
62,正義重新路口
62,長元西街口
62,長壽西街口
62,三安里
62,五常郵局
62,自強五華街口
62,五華街
62,碧華國小
62,分子尾
63,後車站
63,圓環(重慶)
63,民生重慶路口
63,涼州重慶路口
63,捷運大橋頭站
63,捷運民權西路站
63,民權中山路口
63,捷運中山國小站
63,公教住宅
63,介壽國中
63,聯合二村
63,民生社區活動中心
63,新東街口
63,新東里
63,發電所(西松高中)
63,新湖一路口
63,新湖三路口(台北花市)
63,新湖行忠路口
63,行忠行愛路口
63,瑞湖街口
66,松山車站(松隆)
66,松山車站(松山)
66,永吉松山路口
66,捷運永春站(松山)
66,捷運永春站(忠孝)
66,市立工農
66,消防局(松仁)
66,興雅國中
66,萬利街口
66,棕櫚泉社區
66,文山運動中心(興隆)
66,海巡署
66,海巡署一
66,興隆山莊
66,馬明潭(再興中學)
66,指南路口
66,政大
66,政大一
66,萬興圖書館
66,大誠高中
66,萬壽橋頭(秀明)
66,萬壽橋頭(新光)
68,士林市場(銘傳會館)
68,大南路口
68,士商路
68,陽明高中
68,福美承平路口
68,三王宮
68,福美站
68,洲美國小
72,敬業三路一
72,敬業三路二
72,大直美堤花園三
72,敬業四路
72,美麗華
72,捷運劍南路站
72,自強隧道
72,植福宮
72,捷運行天宮站(松江路)
72,長春松江路口
72,捷運松江南京站
72,長安松江路口
72,光華商場
72,捷運忠孝新生站
72,仁愛新生路口
72,和平安和路口
72,捷運六張犁站(和平)
72,富陽街口
72,黎忠市場
72,捷運麟光站
72,麟光站
72,大我新舍
88,臺大醫院
88,中正紀念堂
88,信義杭州路口
88,捷運東門站
88,信義永康街口(捷運東門站)
88,信義新生路口
88,捷運大安森林公園站
88,信義建國路口
88,信義松仁路口(信義)
88,捷運象山站
88,國稅局宿舍
88,松山商職(福德)
88,松友新村
88,信義行政中心(奉天宮)
88,福德國小
88,衛生福利部
88,南港機廠
88,捷運南港站
88,南港高工一
88,南港高工(重陽)
88區,臺大醫院
88區,中正紀念堂
88區,信義杭州路口
88區,捷運東門站
88區,信義永康街口(捷運東門站)
88區,信義新生路口
88區,捷運大安森林公園站
88區,信義建國路口
88區,信義松仁路口(信義)
88區,捷運象山站
88區,國稅局宿舍
88區,松山商職(福德)
88區,松友新村
88區,信義行政中心(奉天宮)
88區,福德國小
99,亞東科技大學(南雅南路)
99,捷運亞東醫院站
99,光華商職
99,板橋夜市(南雅南路)
99,捷運府中站(府中路)
99,萬坪公園
99,新北板橋公車站
99,板橋車站(文化路)
99,幸福思源路口
99,幸福新城
99,幸福中華路口
99,正邦社區
99,中華路
99,財元廣場
99,新莊田徑場(中和里)
99,捷運輔大站
99,營盤口
99,三洋(建福路)
99,宏泰社區
99,建福路口
99,後港社區
99,民安路
108,冷水坑服務站
108,松園
108,菁山遊憩區一
108,菁山遊憩區
108,中山樓
108,陽明山
108,陽明山總站
108區,百拉卡公路入口
108區,頂湖山
108區,竹子湖派出所
108區,水雲澗
108區,陽明書屋
108區,氣象台
108區,磺仔外
108區,童軍站
109,陽明山國家公園管理處
109,陽明山
109,中山樓
109,教師中心
