route_id,route_name,is_processed
0100029200,292,False
0100030000,300,False
0400052000,520,False
0100053900,539,False
0100055600,556,False
0100056800,568,False
0400057300,573,False
0400057400,574,False
0400057500,575,False
0400057600,576,False
0454021500,578,False
0454021600,579,False
0454022100,580,False
0454022200,581,False
0454022300,582,False
0400058270,582經洲子洋,False
0454058290,582經工業區,False
0454022500,583,False
0454050200,585,False
0454090600,586,False
0454091200,589,False
0454091800,591,False
0100060000,600,False
0100060400,604,False
0100060500,605,False
0100060600,606,False
0100061200,612,False
0100061600,616,False
0400062400,624,False
0400062470,624綠野香坡,False
0400062900,629,False
0400062920,629區,False
0100063000,630,False
0400063500,635,False
0400063600,636,False
0400063700,637,False
0400063800,638,False
0400063810,638副,False
0400063900,639,False
0400064000,640,False
0100064300,643,False
0100064500,645,False
0100064510,645副,False
0100064800,648,False
0100065100,651,False
0100065200,652,False
0400065600,656,False
0400065700,657,False
0400065770,657延,False
0400065800,658,False
0100066000,660,False
0100066020,660區,False
0100066200,662,False
0400066700,667,False
0100066800,668,False
0100067100,671,False
0100067600,676,False
0400067700,677,False
0454091600,677副,False
0400067800,678,False
0100067900,679,False
0100068000,680,False
0100068100,681,False
0100068200,682,False
0100068500,685,False
0100068800,688,False
0400070100,701,False
0400070200,702,False
0400070400,704,False
0400070420,704區,False
0400070500,705,False
0400070600,706,False
0400027510,707,False
0100071100,711,False
0400071200,712,False
0400071210,712副,False
0100075600,756,False
0400076000,760,False
0400077800,778,False
0400077900,779,False
0400078300,783,False
0400078700,787,False
0400078770,787經瑞芳工業區,False
0400078800,788,False
0461078820,788區,False
0400078870,788海科館,False
0400078900,789,False
0400078920,789區,False
0400079000,790,False
0400079070,790漁港,False
0400079100,791,False
0400079120,791區,False
0400079170,791繞貢寮,False
0400079190,791經貢寮區衛生,False
0400079300,793,False
0400079570,795往木柵(台灣好行-木柵平溪線),False
0400079580,795往平溪(台灣好行-木柵平溪線),False
0400079500,795往十分寮(台灣好行-木柵平溪線),False
0400079600,796,False
0400079700,797,False
0400079900,799,False
0400080000,800,False
0400080100,801,False
0400080200,802,False
0400080220,802區,False
0400080300,803,False
0400080500,805,False
0400080600,806,False
0400081000,810,False
0400081100,811,False
0400081200,812,False
0400081300,813,False
0400081320,813區,False
0400081500,815,False
0400081600,816,False
0400081700,817,False
0400081900,819,False
0400081910,819副,False
0400082000,820,False
0400082100,821,False
0400082200,822,False
0400082300,823,False
0400082400,824,False
0400082500,825,False
0400082600,826,False
0400082700,827,False
0400083500,835,False
0400083600,836,False
0400083800,838,False
0400084200,842,False
0400084300,843,False
0400084500,845,False
0400084700,847,False
0400084720,847區,False
0400084900,849,False
0400084970,849屈尺社區,False
0463085300,853跳蛙,False
0400085400,854,False
0400085600,856(台灣好行-黃金福隆線),False
0400085700,857,False
0400085900,859,False
0400086000,860,False
0400086100,861,False
0400086200,862,False
0400086300,863,False
0400086400,864,False
0400086720,867區,False
0400086900,869,False
0400087500,875,False
0400087600,876,False
0400087800,878,False
0400087820,878區,False
0400087900,879,False
0400088000,880,False
0400088100,881,False
0400088200,882,False
0400088300,883,False
0400088500,885,False
0400088620,886區,False
0400088900,889,False
0400089000,890,False
0400089400,894,False
0400089500,895,False
0400089600,896,False
0400089700,897,False
0400089720,897區,False
0400089900,899,False
0100090200,902,False
0100090220,902區,False
0100090500,905,False
0400090600,906,False
0400090900,909,False
0100091200,912,False
0400091300,913,False
0400091800,918,False
0400091820,918區,False
0400091900,919,False
0400093300,933,False
0400093500,935,False
0400093800,938,False
0100094900,949,False
0100095000,950,False
0100095700,957,False
0415002900,960,False
0400096300,963,False
0410098100,981,False
0410098200,982,False
0410098220,982區,False
0410098230,982直達,False
0410098240,982直達新埔線,False
0400098300,983,False
0410098500,985萬大樹林先導公車,False
0412000100,藍1,False
0415000100,橘1,False
0111000200,紅2,False
0114000200,棕2,False
0412000200,藍2,False
0415000200,橘2,False
0413000200,綠2右,False
0413000270,綠2左,False
0410000200,藍海2線先導公車,False
0111000320,紅3區,False
0111000500,紅5,False
0413000500,綠5,False
0415000500,橘5,False
0114000600,棕6,False
0413000600,綠6,False
0111000700,紅7,False
0112000700,藍7,False
0413000700,綠7,False
0414000700,棕7,False
0111000720,紅7區,False
0112000710,藍7副,False
0414000790,棕7建業路,False
0414000770,棕7綠野香坡,False
0413000800,綠8,False
0415000900,橘9,False
0111001000,紅10,False
0112001000,藍10,False
0413001000,綠10,False
0415001000,橘10,False
0111001020,紅10區,False
0152003500,通勤11,False
0111001200,紅12,False
0152003600,通勤12,False
0411001300,紅13,False
0413001300,綠13,False
0415001300,橘13,False
0152003700,通勤13,False
0111001500,紅15,False
0412001500,藍15,False
0413001500,綠15,False
0152003800,通勤16,False
0412001700,藍17,False
0415001700,橘17,False
0412001800,藍18,False
0152004500,通勤18,False
0415001900,橘19,False
0415001910,橘19副,False
0112002020,藍20區,False
0412002100,藍21,False
0152004400,通勤21,False
0412002110,藍21副,False
0411002200,紅22,False
0412002200,藍22,False
0152004200,通勤22,False
0411002300,紅23,False
0412002300,藍23,False
0152004700,通勤24,False
0112002500,藍25,False
0415002500,橘25,False
0152004900,通勤25,False
0411002600,紅26,False
0415002600,橘26,False
0152005000,通勤26,False
0411002700,紅27,False
0152005100,通勤27,False
0411002800,紅28,False
0152005200,通勤28,False
0411002830,紅28直,False
0111002900,紅29,False
0152005300,通勤29,False
0111003100,紅31,False
0112003600,藍36,False
0411003600,紅36,False
0411003700,紅37,False
0412003700,藍37,False
0411003790,紅37行經海洋都心社區,False
0411003800,紅38,False
0412003800,藍38,False
0411003900,紅39,False
0412003900,藍39,False
0412004100,藍41,False
0412004170,藍41延和,False
0412004400,藍44,False
0412004470,藍44延,False
0412004500,藍45,False
0412004600,藍46,False
0111005000,紅50,False
0411005100,紅51,False
0411005300,紅53,False
0161000600,中山幹線,False
0161000200,仁愛幹線,False
0161000100,內湖幹線,False
0100062000,北環幹線,False
0161000300,民生幹線,False
0161001300,民權幹線,False
0161000700,和平幹線,False
0161001100,忠孝幹線,False
0161000900,承德幹線,False
0113001600,東環幹線,False
0161000400,松江新生幹線,False
0161001200,信義幹線,False
0161001400,南京幹線,False
0113000100,南環幹線,False
0161001000,重慶幹線,False
0161001500,基隆路幹線,False
0161000800,復興幹線,False
0161000500,敦化幹線,False
0463003900,湯泉-大坪林-湯泉,False
0152005400,雙園巴士,False
0161001600,羅斯福路幹線,False
0410098500,985萬大樹林先導公車,False
0410000200,藍海2線先導公車,False
0111000200,紅2,False
0111000300,紅3,False
0111000320,紅3區,False
0111000500,紅5,False
0111000700,紅7,False
0111000720,紅7區,False
